target_id,abundance,abundance
PRQ57752,12.0,12.0
PRQ58288,61.0,61.0
PRQ59101,23.0,23.0
PRQ56554,1.0,1.0
PRQ60018,31.0,31.0
PRQ58475,1.0,1.0
PRQ56289,85.0,85.0
PRQ59421,26.0,26.0
PRQ58400,7.0,7.0
PRQ60112,10.0,10.0
PRQ60616,13.0,13.0
PRQ56296,3.0,3.0
PRQ55615,2.0,2.0
PRQ60220,2.0,2.0
PRQ58762,17.0,17.0
PRQ56637,1.0,1.0
PRQ60358,5.0,5.0
PRQ55135,78.0,78.0
PRQ56005,7.0,7.0
PRQ54919,8.0,8.0
PRQ55161,3.0,3.0
PRQ58600,6.0,6.0
PRQ58778,20.0,20.0
PRQ56826,19.0,19.0
PRQ60537,23.0,23.0
PRQ55604,53.0,53.0
PRQ59331,1.0,1.0
PRQ57131,1.0,1.0
PRQ57839,4.0,4.0
PRQ56395,9.0,9.0
PRQ56452,16.0,16.0
PRQ60259,1.0,1.0
PRQ57500,17.0,17.0
PRQ56128,5.0,5.0
PRQ58827,8.0,8.0
PRQ58341,22.0,22.0
PRQ60673,21.0,21.0
PRQ57093,5.0,5.0
PRQ55180,3.0,3.0
PRQ58978,54.0,54.0
PRQ60079,62.0,62.0
PRQ56467,12.0,12.0
PRQ57916,4.0,4.0
PRQ54861,6.0,6.0
PRQ59553,7.0,7.0
PRQ55746,14.0,14.0
PRQ58403,3.0,3.0
PRQ56809,25.0,25.0
PRQ59763,11.0,11.0
PRQ55916,2.25312,2.25312
PRQ58911,21.0,21.0
PRQ56746,4.0,4.0
PRQ54984,3.0,3.0
PRQ58838,124.0,124.0
PRQ60622,37.0,37.0
PRQ55617,2.61694,2.61694
PRQ60522,7.0,7.0
PRQ54879,96.0,96.0
PRQ56534,0.625909,0.625909
PRQ57565,57.0,57.0
PRQ58107,7.0,7.0
PRQ59055,0.954394,0.954394
PRQ58032,1.0,1.0
PRQ59100,18.0,18.0
PRQ57059,4.0,4.0
PRQ60551,1.12452,1.12452
PRQ57749,5.0,5.0
PRQ58435,58.0,58.0
PRQ57767,11.0,11.0
PRQ55563,13.0,13.0
PRQ56480,15.0,15.0
PRQ58605,5.0,5.0
PRQ54483,78.2568,78.2568
PRQ58932,11.0,11.0
PRQ58554,10.0,10.0
PRQ60741,99.0,99.0
PRQ59938,1.0,1.0
PRQ60534,24.0,24.0
PRQ54912,2.0,2.0
PRQ55473,14.0,14.0
PRQ60699,2.0,2.0
PRQ59804,11.0,11.0
PRQ54873,6.0,6.0
