target_id,abundance
BGIOSGA028042-TA,159.0
BGIOSGA016971-TA,12.0
BGIOSGA020384-TA,20.0
BGIOSGA005643-TA,1.0
BGIOSGA015821-TA,308.0
BGIOSGA024780-TA,146.0
BGIOSGA024011-TA,97.0
BGIOSGA020647-TA,23.0
BGIOSGA020512-TA,12.0
BGIOSGA033228-TA,14.0
BGIOSGA024522-TA,1.0
BGIOSGA007412-TA,5.0
BGIOSGA027830-TA,29.0
BGIOSGA022733-TA,3.0
BGIOSGA017179-TA,43.0
BGIOSGA007848-TA,13.0
BGIOSGA002918-TA,664.0
BGIOSGA013033-TA,6.0
BGIOSGA004975-TA,46.0
BGIOSGA030196-TA,42.0
BGIOSGA012269-TA,30.0
BGIOSGA021665-TA,8.0
BGIOSGA016434-TA,2.0
BGIOSGA027884-TA,2.0
BGIOSGA027191-TA,4.20657
BGIOSGA028353-TA,63.0
BGIOSGA005074-TA,20.0
BGIOSGA016673-TA,36.0
BGIOSGA004165-TA,19.6154
BGIOSGA009914-TA,20.0
BGIOSGA010723-TA,702.0
BGIOSGA022076-TA,807.292
BGIOSGA015605-TA,28.0
BGIOSGA000068-TA,23.0
BGIOSGA015478-TA,273.0
BGIOSGA003024-TA,77.0
BGIOSGA018415-TA,1.0
BGIOSGA000314-TA,41.0
BGIOSGA027267-TA,29.0
BGIOSGA007532-TA,27.9031
BGIOSGA027108-TA,42.0
BGIOSGA033437-TA,24.0
BGIOSGA024706-TA,2.0
BGIOSGA001853-TA,37.0
BGIOSGA017999-TA,6.0
BGIOSGA035494-TA,19.0
BGIOSGA002494-TA,1.0
BGIOSGA033492-TA,3.0
BGIOSGA001933-TA,48.0
BGIOSGA020359-TA,63.0
BGIOSGA011146-TA,15.0
BGIOSGA003879-TA,2.0
BGIOSGA029185-TA,200.237
BGIOSGA024434-TA,6.0
BGIOSGA013081-TA,11.0
BGIOSGA036540-TA,49.0
BGIOSGA011752-TA,15.0
BGIOSGA036607-TA,8.0
BGIOSGA014538-TA,80.0
BGIOSGA012348-TA,3.0
BGIOSGA000583-TA,19.0
BGIOSGA034039-TA,8.0
BGIOSGA037817-TA,16.0
BGIOSGA036007-TA,209.0
BGIOSGA017434-TA,37.0
BGIOSGA017668-TA,126.0
BGIOSGA017186-TA,874.185
BGIOSGA002509-TA,84.7884
BGIOSGA018098-TA,119.0
BGIOSGA000689-TA,2.0
BGIOSGA003960-TA,1.0
BGIOSGA008017-TA,4.0
BGIOSGA009293-TA,394.0
BGIOSGA002922-TA,378.0
BGIOSGA030536-TA,4.0
BGIOSGA023130-TA,13.0
BGIOSGA011970-TA,94.0
BGIOSGA002531-TA,41.0
BGIOSGA016497-TA,75.0
BGIOSGA030316-TA,1.0
BGIOSGA016009-TA,73.0
BGIOSGA022511-TA,96.0
BGIOSGA035005-TA,2.0
BGIOSGA027258-TA,32.0
BGIOSGA012107-TA,20.0
BGIOSGA018130-TA,259.0
BGIOSGA026107-TA,113.0
BGIOSGA018077-TA,2.0
BGIOSGA034755-TA,26.8896
BGIOSGA006440-TA,5.0
BGIOSGA021330-TA,19.0
BGIOSGA013852-TA,144.0
BGIOSGA002964-TA,17.0
BGIOSGA032439-TA,4.0
BGIOSGA018156-TA,58.0
BGIOSGA016923-TA,37.0
BGIOSGA026253-TA,26.0
BGIOSGA027947-TA,63.0
BGIOSGA002295-TA,5.0
BGIOSGA001360-TA,1.0
BGIOSGA002440-TA,4.0
BGIOSGA032846-TA,1.0
BGIOSGA011341-TA,12.0
BGIOSGA005424-TA,144.78
BGIOSGA026147-TA,65.0
BGIOSGA016582-TA,32.0
BGIOSGA020251-TA,159.0
BGIOSGA032554-TA,4.0
BGIOSGA005875-TA,50.0
BGIOSGA005583-TA,1.0
BGIOSGA006697-TA,1.0
BGIOSGA019996-TA,5.0
BGIOSGA037101-TA,61.3019
BGIOSGA034001-TA,11.0
BGIOSGA005005-TA,46.9486
BGIOSGA024119-TA,29.0
BGIOSGA036583-TA,6.0
BGIOSGA018533-TA,92.0
BGIOSGA018652-TA,94.0
BGIOSGA004487-TA,39.0
BGIOSGA002747-TA,5.0
BGIOSGA006099-TA,612.0
BGIOSGA010307-TA,450.0
BGIOSGA013665-TA,1.0
BGIOSGA029627-TA,12.0
BGIOSGA034464-TA,292.0
BGIOSGA028859-TA,4.0
BGIOSGA011942-TA,66.0
BGIOSGA009050-TA,32.0
BGIOSGA029266-TA,1.0
BGIOSGA000144-TA,31.0
BGIOSGA032378-TA,54.6667
BGIOSGA022389-TA,1.33333
BGIOSGA008422-TA,29.0
BGIOSGA017382-TA,125.0
BGIOSGA007062-TA,11.0
BGIOSGA009700-TA,18.0
BGIOSGA018554-TA,459.0
BGIOSGA004745-TA,73.0
